college_id,college_name,status,home_university
3471,New Horizon Institute Of Technology Management Thane,Un-Aided,Mumbai University
3475,A. P. Shah Institute Of Technology Thane,Un-Aided Religious Minority - Jain,Mumbai University
3477,Chhartrapati Shivaji Maharaj Institute Of Technology Shedung Panvel,Un-Aided,Mumbai University
3503,Indala College Of Engineering Bapsai Tal.Kalyan,Un-Aided,Mumbai University
3546,Devi Mahalaxmi College Of Engineering And Technology,Un-Aided,Mumbai University
4004,Government College Of Engineering Chandrapur,Government,Gondwana University
4025,Government College Of Engineering Nagpur,Government,Rashtrasant Tukadoji Maharaj Nagpur University
4104,Kavi Kulguru Institute Of Technology Science Ramtek,Un-Aided,Rashtrasant Tukadoji Maharaj Nagpur University
4116,Ankush Shikshan Sanstha S G.H.Raisoni College Of Engineering Nagpur,Un-Aided Autonomous Linguistic Minority - Hindi,Autonomous Institute
4118,Bapurao Deshmukh College Of Engineering Sevagram,Un-Aided,Rashtrasant Tukadoji Maharaj Nagpur University
4123,Lokmanya Tilak Jankalyan Shikshan Sanstha Priyadarshani College Of Engineering Nagpur,Un-Aided Autonomous Linguistic Minority - Hindi,Autonomous Institute
4133,Sanmarg Shikshan Sanstha S Smt. Radhikatai Pandav College Of Engineering Nagpur,Un-Aided,Rashtrasant Tukadoji Maharaj Nagpur University
4134,Guru Nanak Institute Of Engineering Technology Kalmeshwar Nagpur,Un-Aided,Rashtrasant Tukadoji Maharaj Nagpur University
4135,Amar Seva Mandal S Shree Govindrao Vanjari College Of Engineering Technology Nagpur,Un-Aided,Rashtrasant Tukadoji Maharaj Nagpur University
4136,Lokmanya Tilak Jankalyan Shikshan Sastha Priyadarshini J. L. College Of Engineering Nagpur,Un-Aided Autonomous Linguistic Minority - Hindi,Autonomous Institute
4137,Sir Shantilal Badjate Charitable Trust S S. B. Jain Institute Of Technology Management Research Nagpur,Un-Aided Autonomous Linguistic Minority - Hindi,Autonomous Institute
4138,Jaidev Education Society J D College Of Engineering And Management Nagpur,Un-Aided Autonomous Linguistic Minority - Hindi,Autonomous Institute
4139,Samridhi Sarwajanik Charitable Trust Jhulelal Institute Of Technology Nagpur,Un-Aided Autonomous Linguistic Minority - Sindhi,Autonomous Institute
4141,Shriram Gram Vikas Shikshan Sanstha Vilasrao Deshmukh College Of Engineering And Technology Nagpur,Un-Aided,Rashtrasant Tukadoji Maharaj Nagpur University
4142,G H Raisoni College Of Engineering Management Nagpur,Un-Aided Autonomous Linguistic Minority - Hindi,Autonomous Institute
4143,Sanmarg Shikshan Sanstha Mandukarrao Pandav College Of Engineering Bhandara,Un-Aided,Rashtrasant Tukadoji Maharaj Nagpur University
4144,Shri. Sai Shikshan Sanstha Nagpur Institute Of Technology Nagpur,Un-Aided,Rashtrasant Tukadoji Maharaj Nagpur University
4145,Wainganga College Of Engineering And Management Dongargaon Nagpur,Un-Aided Autonomous,Autonomous Institute
4147,K.D.K. College Of Engineering Nagpur,Un-Aided,Rashtrasant Tukadoji Maharaj Nagpur University
4151,Tulsiramji Gaikwad Patil College Of Engineering Technology Nagpur,Un-Aided Autonomous,Autonomous Institute
4163,Rajiv Gandhi College Of Engineering Research Technology Chandrapur,Un-Aided,Gondwana University
4167,Yeshwantrao Chavan College Of Engineering Wanadongri Nagpur,Un-Aided Autonomous,Autonomous Institute
4172,Anjuman College Of Engineering Technology Nagpur,Un-Aided Religious Minority - Muslim,Rashtrasant Tukadoji Maharaj Nagpur University
4174,St. Vincent Pallotti College Of Engineering Technology Nagpur,Un-Aided Autonomous Religious Minority - Christian,Autonomous Institute
4175,Jmss Shri Shankarprasad Agnihotri College Of Engineering Wardha,Un-Aided,Rashtrasant Tukadoji Maharaj Nagpur University
4177,Priyadarshini Bhagwati College Of Engineering Harpur Nagar Umred Road Nagpur,Un-Aided Linguistic Minority - Hindi,Rashtrasant Tukadoji Maharaj Nagpur University
4181,Swaminarayan Siddhanta Institute Of Technology Nagpur,Un-Aided,Rashtrasant Tukadoji Maharaj Nagpur University
4188,Krushi Jivan Vikas Pratishthan Ballarpur Institute Of Technology Mouza Bamni,Un-Aided,Gondwana University
4190,M.D. Yergude Memorial Shikshan Prasarak Mandal S Shri Sai College Of Engineering Technology Bhadrawati,Un-Aided,Gondwana University
4192,Maitraya Education Society Nagarjuna Institute Of Engineering Technology Management Nagpur,Un-Aided,Rashtrasant Tukadoji Maharaj Nagpur University
4193,K.D.M. Education Society Vidharbha Institute Of Technology Umred Road Nagpur,Un-Aided Autonomous Linguistic Minority - Hindi,Autonomous Institute
